"Time stamp","System power generated | (kW)"
"Jan 1, 12:00 am",-0.00707
"Jan 1, 01:00 am",-0.00707
"Jan 1, 02:00 am",-0.00707
"Jan 1, 03:00 am",-0.00707
"Jan 1, 04:00 am",-0.00707
"Jan 1, 05:00 am",-0.00707
"Jan 1, 06:00 am",-0.00707
"Jan 1, 07:00 am",-0.00707
"Jan 1, 08:00 am",44.4276
"Jan 1, 09:00 am",47.2975
"Jan 1, 10:00 am",82.4694
"Jan 1, 11:00 am",150.45
"Jan 1, 12:00 pm",153.893
"Jan 1, 01:00 pm",144.154
"Jan 1, 02:00 pm",120.069
"Jan 1, 03:00 pm",81.1062
"Jan 1, 04:00 pm",18.0063
"Jan 1, 05:00 pm",-0.00707
"Jan 1, 06:00 pm",-0.00707
"Jan 1, 07:00 pm",-0.00707
"Jan 1, 08:00 pm",-0.00707
"Jan 1, 09:00 pm",-0.00707
"Jan 1, 10:00 pm",-0.00707
"Jan 1, 11:00 pm",-0.00707
"Jan 2, 12:00 am",-0.00707
"Jan 2, 01:00 am",-0.00707
"Jan 2, 02:00 am",-0.00707
"Jan 2, 03:00 am",-0.00707
"Jan 2, 04:00 am",-0.00707
"Jan 2, 05:00 am",-0.00707
"Jan 2, 06:00 am",-0.00707
"Jan 2, 07:00 am",-0.00707
"Jan 2, 08:00 am",43.1103
"Jan 2, 09:00 am",95.4052
"Jan 2, 10:00 am",88.8797
"Jan 2, 11:00 am",109.291
"Jan 2, 12:00 pm",150.709
"Jan 2, 01:00 pm",141.572
"Jan 2, 02:00 pm",119.171
"Jan 2, 03:00 pm",78.7483
"Jan 2, 04:00 pm",17.5674
"Jan 2, 05:00 pm",-0.00707
"Jan 2, 06:00 pm",-0.00707
"Jan 2, 07:00 pm",-0.00707
"Jan 2, 08:00 pm",-0.00707
"Jan 2, 09:00 pm",-0.00707
"Jan 2, 10:00 pm",-0.00707
"Jan 2, 11:00 pm",-0.00707
"Jan 3, 12:00 am",-0.00707
"Jan 3, 01:00 am",-0.00707
"Jan 3, 02:00 am",-0.00707
"Jan 3, 03:00 am",-0.00707
"Jan 3, 04:00 am",-0.00707
"Jan 3, 05:00 am",-0.00707
"Jan 3, 06:00 am",-0.00707
"Jan 3, 07:00 am",-0.00707
"Jan 3, 08:00 am",46.0296
"Jan 3, 09:00 am",98.982
"Jan 3, 10:00 am",132.497
"Jan 3, 11:00 am",149.842
"Jan 3, 12:00 pm",153.4
"Jan 3, 01:00 pm",143.92
"Jan 3, 02:00 pm",120.24
"Jan 3, 03:00 pm",80.5694
"Jan 3, 04:00 pm",7.88552
"Jan 3, 05:00 pm",-0.00707
"Jan 3, 06:00 pm",-0.00707
"Jan 3, 07:00 pm",-0.00707
"Jan 3, 08:00 pm",-0.00707
"Jan 3, 09:00 pm",-0.00707
"Jan 3, 10:00 pm",-0.00707
"Jan 3, 11:00 pm",-0.00707
"Jan 4, 12:00 am",-0.00707
"Jan 4, 01:00 am",-0.00707
"Jan 4, 02:00 am",-0.00707
"Jan 4, 03:00 am",-0.00707
"Jan 4, 04:00 am",-0.00707
"Jan 4, 05:00 am",-0.00707
"Jan 4, 06:00 am",-0.00707
"Jan 4, 07:00 am",-0.00707
"Jan 4, 08:00 am",11.3611
"Jan 4, 09:00 am",72.3101
"Jan 4, 10:00 am",129.412
"Jan 4, 11:00 am",112.773
"Jan 4, 12:00 pm",113.273
"Jan 4, 01:00 pm",102.542
"Jan 4, 02:00 pm",117.829
"Jan 4, 03:00 pm",77.211
"Jan 4, 04:00 pm",17.6248
"Jan 4, 05:00 pm",-0.00707
"Jan 4, 06:00 pm",-0.00707
"Jan 4, 07:00 pm",-0.00707
"Jan 4, 08:00 pm",-0.00707
"Jan 4, 09:00 pm",-0.00707
"Jan 4, 10:00 pm",-0.00707
"Jan 4, 11:00 pm",-0.00707
"Jan 5, 12:00 am",-0.00707
"Jan 5, 01:00 am",-0.00707
"Jan 5, 02:00 am",-0.00707
"Jan 5, 03:00 am",-0.00707
"Jan 5, 04:00 am",-0.00707
"Jan 5, 05:00 am",-0.00707
"Jan 5, 06:00 am",-0.00707
"Jan 5, 07:00 am",-0.00707
"Jan 5, 08:00 am",42.6265
"Jan 5, 09:00 am",96.2038
"Jan 5, 10:00 am",131.544
"Jan 5, 11:00 am",148.834
"Jan 5, 12:00 pm",111.922
"Jan 5, 01:00 pm",83.678
"Jan 5, 02:00 pm",53.1656
"Jan 5, 03:00 pm",10.745
"Jan 5, 04:00 pm",21.9963
"Jan 5, 05:00 pm",-0.00707
"Jan 5, 06:00 pm",-0.00707
"Jan 5, 07:00 pm",-0.00707
"Jan 5, 08:00 pm",-0.00707
"Jan 5, 09:00 pm",-0.00707
"Jan 5, 10:00 pm",-0.00707
"Jan 5, 11:00 pm",-0.00707
"Jan 6, 12:00 am",-0.00707
"Jan 6, 01:00 am",-0.00707
"Jan 6, 02:00 am",-0.00707
"Jan 6, 03:00 am",-0.00707
"Jan 6, 04:00 am",-0.00707
"Jan 6, 05:00 am",-0.00707
"Jan 6, 06:00 am",-0.00707
"Jan 6, 07:00 am",-0.00707
"Jan 6, 08:00 am",42.0598
"Jan 6, 09:00 am",50.0297
"Jan 6, 10:00 am",98.8682
"Jan 6, 11:00 am",148.895
"Jan 6, 12:00 pm",99.2002
"Jan 6, 01:00 pm",81.8706
"Jan 6, 02:00 pm",120.761
"Jan 6, 03:00 pm",13.9471
"Jan 6, 04:00 pm",7.5308
"Jan 6, 05:00 pm",-0.00707
"Jan 6, 06:00 pm",-0.00707
"Jan 6, 07:00 pm",-0.00707
"Jan 6, 08:00 pm",-0.00707
"Jan 6, 09:00 pm",-0.00707
"Jan 6, 10:00 pm",-0.00707
"Jan 6, 11:00 pm",-0.00707
"Jan 7, 12:00 am",-0.00707
"Jan 7, 01:00 am",-0.00707
"Jan 7, 02:00 am",-0.00707
"Jan 7, 03:00 am",-0.00707
"Jan 7, 04:00 am",-0.00707
"Jan 7, 05:00 am",-0.00707
"Jan 7, 06:00 am",-0.00707
"Jan 7, 07:00 am",-0.00707
"Jan 7, 08:00 am",41.5025
"Jan 7, 09:00 am",93.5301
"Jan 7, 10:00 am",130.177
"Jan 7, 11:00 am",149.384
"Jan 7, 12:00 pm",154.223
"Jan 7, 01:00 pm",145.627
"Jan 7, 02:00 pm",123.197
"Jan 7, 03:00 pm",84.4509
"Jan 7, 04:00 pm",25.7916
"Jan 7, 05:00 pm",-0.00707
"Jan 7, 06:00 pm",-0.00707
"Jan 7, 07:00 pm",-0.00707
"Jan 7, 08:00 pm",-0.00707
"Jan 7, 09:00 pm",-0.00707
"Jan 7, 10:00 pm",-0.00707
"Jan 7, 11:00 pm",-0.00707
"Jan 8, 12:00 am",-0.00707
"Jan 8, 01:00 am",-0.00707
"Jan 8, 02:00 am",-0.00707
"Jan 8, 03:00 am",-0.00707
"Jan 8, 04:00 am",-0.00707
"Jan 8, 05:00 am",-0.00707
"Jan 8, 06:00 am",-0.00707
"Jan 8, 07:00 am",-0.00707
"Jan 8, 08:00 am",43.1642
"Jan 8, 09:00 am",95.821
"Jan 8, 10:00 am",130.521
"Jan 8, 11:00 am",148.788
"Jan 8, 12:00 pm",153.128
"Jan 8, 01:00 pm",144.485
"Jan 8, 02:00 pm",78.7067
"Jan 8, 03:00 pm",67.613
"Jan 8, 04:00 pm",20.2861
"Jan 8, 05:00 pm",-0.00707
"Jan 8, 06:00 pm",-0.00707
"Jan 8, 07:00 pm",-0.00707
"Jan 8, 08:00 pm",-0.00707
"Jan 8, 09:00 pm",-0.00707
"Jan 8, 10:00 pm",-0.00707
"Jan 8, 11:00 pm",-0.00707
"Jan 9, 12:00 am",-0.00707
"Jan 9, 01:00 am",-0.00707
"Jan 9, 02:00 am",-0.00707
"Jan 9, 03:00 am",-0.00707
"Jan 9, 04:00 am",-0.00707
"Jan 9, 05:00 am",-0.00707
"Jan 9, 06:00 am",-0.00707
"Jan 9, 07:00 am",-0.00707
"Jan 9, 08:00 am",44.4476
"Jan 9, 09:00 am",97.2061
"Jan 9, 10:00 am",131.727
"Jan 9, 11:00 am",150.319
"Jan 9, 12:00 pm",154.626
"Jan 9, 01:00 pm",145.399
"Jan 9, 02:00 pm",83.7781
"Jan 9, 03:00 pm",85.2993
"Jan 9, 04:00 pm",28.6369
"Jan 9, 05:00 pm",-0.00707
"Jan 9, 06:00 pm",-0.00707
"Jan 9, 07:00 pm",-0.00707
"Jan 9, 08:00 pm",-0.00707
"Jan 9, 09:00 pm",-0.00707
"Jan 9, 10:00 pm",-0.00707
"Jan 9, 11:00 pm",-0.00707
"Jan 10, 12:00 am",-0.00707
"Jan 10, 01:00 am",-0.00707
"Jan 10, 02:00 am",-0.00707
"Jan 10, 03:00 am",-0.00707
"Jan 10, 04:00 am",-0.00707
"Jan 10, 05:00 am",-0.00707
"Jan 10, 06:00 am",-0.00707
"Jan 10, 07:00 am",-0.00707
"Jan 10, 08:00 am",44.9708
"Jan 10, 09:00 am",96.819
"Jan 10, 10:00 am",130.984
"Jan 10, 11:00 am",149.63
"Jan 10, 12:00 pm",153.886
"Jan 10, 01:00 pm",145.773
"Jan 10, 02:00 pm",123.611
"Jan 10, 03:00 pm",85.9455
"Jan 10, 04:00 pm",29.4348
"Jan 10, 05:00 pm",-0.00707
"Jan 10, 06:00 pm",-0.00707
"Jan 10, 07:00 pm",-0.00707
"Jan 10, 08:00 pm",-0.00707
"Jan 10, 09:00 pm",-0.00707
"Jan 10, 10:00 pm",-0.00707
"Jan 10, 11:00 pm",-0.00707
"Jan 11, 12:00 am",-0.00707
"Jan 11, 01:00 am",-0.00707
"Jan 11, 02:00 am",-0.00707
"Jan 11, 03:00 am",-0.00707
"Jan 11, 04:00 am",-0.00707
"Jan 11, 05:00 am",-0.00707
"Jan 11, 06:00 am",-0.00707
"Jan 11, 07:00 am",-0.00707
"Jan 11, 08:00 am",25.5178
"Jan 11, 09:00 am",11.8934
"Jan 11, 10:00 am",72.6529
"Jan 11, 11:00 am",71.9063
"Jan 11, 12:00 pm",152.596
"Jan 11, 01:00 pm",19.666
"Jan 11, 02:00 pm",3.56979
"Jan 11, 03:00 pm",2.54919
"Jan 11, 04:00 pm",0.677386
"Jan 11, 05:00 pm",-0.00707
"Jan 11, 06:00 pm",-0.00707
"Jan 11, 07:00 pm",-0.00707
"Jan 11, 08:00 pm",-0.00707
"Jan 11, 09:00 pm",-0.00707
"Jan 11, 10:00 pm",-0.00707
"Jan 11, 11:00 pm",-0.00707
"Jan 12, 12:00 am",-0.00707
"Jan 12, 01:00 am",-0.00707
"Jan 12, 02:00 am",-0.00707
"Jan 12, 03:00 am",-0.00707
"Jan 12, 04:00 am",-0.00707
"Jan 12, 05:00 am",-0.00707
"Jan 12, 06:00 am",-0.00707
"Jan 12, 07:00 am",-0.00707
"Jan 12, 08:00 am",30.9738
"Jan 12, 09:00 am",69.2746
"Jan 12, 10:00 am",93.26
"Jan 12, 11:00 am",51.5126
"Jan 12, 12:00 pm",51.5612
"Jan 12, 01:00 pm",27.7571
"Jan 12, 02:00 pm",61.8576
"Jan 12, 03:00 pm",11.4883
"Jan 12, 04:00 pm",14.8121
"Jan 12, 05:00 pm",-0.00707
"Jan 12, 06:00 pm",-0.00707
"Jan 12, 07:00 pm",-0.00707
"Jan 12, 08:00 pm",-0.00707
